hs_product_code,no_sh4,dcr,eci,rca,distancia,pci,cog,proporcao_importacao_origem_brasil,dcr_bloco,import_value_total,export_value,import_value,dcr_bloco_normalized,export_value_normalized,import_value_normalized,pci_normalized,density_normalized,cog_normalized,rca_normalized,rcd_normalized,import_value_total_normalized,pci_mean,pci_gt_mean,import_value_total_2013
0101,"Cavalos, asininos e muares, vivos",0.2600818387398946,0.3911263815,0.1602227732,0.1529409337,-0.0655155466,0.193350276,0.187,0.1884239873147152,4223788476.0,9722680.0,12478872.0,0.0130943047362363,0.000202047157381,0.0005400768180469,-0.0190850242566959,0.4009107713880335,0.2185454144941526,0.00450037555122,0.0079969226193776,0.0029606443195153,-0.0945593430515006,1,2347011215.0
0102,Animais vivos da espécie bovina,0.0064261118135227,0.3911263815,1.6185623345,0.1882493367,-0.8035751465,0.1547871747,0.491,0.0149665579307525,9071430733.0,210942848.0,662197.0,0.0010400834479236,0.0043836064550367,2.86594211945006e-05,-0.2340856782690797,0.4934662353881173,0.1749572224721847,0.045462565731632,0.0001975882636219,0.0063585759614004,-0.0945593430515006,0,8747149896.0
0103,Animais vivos da espécie suína,0.0790245969469209,0.3911263815,0.0311470142,0.1553702448,0.5154455976,0.1123331262,0.288,0.1072331777026434,3640672383.0,1629137.0,3268188.0,0.0074520443319572,3.385512017614936e-05,0.0001414448818626,0.1501520210655334,0.4072788310270111,0.1269710606816147,0.0008748647798288,0.0024298258958559,0.002551911884601,-0.0945593430515006,1,5097079516.0
0104,Animais vivos das espécies ovina e caprina,0.000516305050216,0.3911263815,4.036e-06,0.1809021483,-1.4785555232,0.1523308196,0.0,0.0105509743956578,1845347425.0,107.0,10823.0,0.0007332276318418,2.2235685880610292e-09,4.6841184056720286e-07,-0.4307110218804734,0.474206728480993,0.1721807840073421,1.1336413271321374e-07,1.5875201261941977e-05,0.0012934874467323,-0.0945593430515006,0,0.0
0105,"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos",0.0024081339056107,0.3911263815,2.0656469816,0.1713287631,-0.0229698314,0.146646035,0.941,2.066045642121047,3450830430.0,102409279.0,94399.0,0.1435774267515108,0.0021281687468259,4.08552243718963e-06,-0.0066912330308057,0.4491115943499609,0.1657552250041734,0.0580203861647056,7.404461839232254e-05,0.0024188430761252,-0.0945593430515006,1,3138405005.0
0106,Outros animais vivos,0.083038158726677,0.3911263815,0.0666972528,0.1614619206,-0.8597458756,0.1044800026,0.022,0.1040011382583528,1600311904.0,1533459.0,1509543.0,0.007227437528937,3.186683423812597e-05,6.533196110554716e-05,-0.2504485079030127,0.4232472077391236,0.1180946101911287,0.0018734083790946,0.0025532337552294,0.001121730970893,-0.0945593430515006,0,1215905935.0
0201,"Carnes de animais da espécie bovina, frescas ou refrigeradas",0.5659013505224951,0.3911263815,2.1256292676,0.2016099006,-0.4375821578,0.1945080004,0.896,1.1412094372251866,28742274750.0,877744758.0,184767256.0,0.0793070157990886,0.0182404268432152,0.0079965971042697,-0.1274699903963001,0.5284888669998408,0.219853999949019,0.059705182951263,0.0174001742384465,0.0201467599412375,-0.0945593430515006,0,20744041052.0
0202,"Carnes de animais da espécie bovina, congeladas",0.4715215871956384,0.3911263815,19.8978605297,0.2615141212,-1.2608203493,0.3096209753,0.628,0.3970747343589805,38299273315.0,10948547402.0,205142317.0,0.0275942444953798,0.2275219260559289,0.0088784154378814,-0.3672836173777166,0.6855184254649003,0.3499671465843799,0.5588958626853142,0.0144982120414056,0.0268456923508168,-0.0945593430515006,0,20823459709.0
0203,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas",0.0460536132159156,0.3911263815,4.9980412419,0.1823312958,0.7163729603,0.1849810726,0.462,1.394176483332558,33883837567.0,2433055487.0,17726355.0,0.0968866649571488,0.0505613621860068,0.000767184197736,0.2086832215205327,0.4779530154480659,0.2090856347416848,0.1403861770695905,0.0014160434385376,0.0237507137931118,-0.0945593430515006,1,29773712123.0
0204,"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas",0.2972249723807489,0.3911263815,0.0072373897,0.1976288322,-1.5589100095,0.2327402822,0.01,0.0095662917617019,9257937316.0,962622.0,31258107.0,0.0006647982632606,2.0004262068939107e-05,0.0013528289228972,-0.4541187075330546,0.518053117952282,0.2630682639567842,0.0002032855318255,0.0091389891589186,0.0064893068582359,-0.0945593430515006,0,6190167267.0
0206,"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas",0.1714982216358809,0.3911263815,3.0588017517,0.2111789258,-0.5566227831,0.2237878559,0.247,0.4203130110396705,9217924024.0,405083022.0,17957914.0,0.02920916136843,0.0084180362922993,0.0007772059086655,-0.1621471523721227,0.5535725720718174,0.2529492625416434,0.0859163547381391,0.0052731786826323,0.0064612597326902,-0.0945593430515006,0,7070360200.0
